time, usr_cpu, sys_cpu, idle_cpu, used_mem, free_mem, buff_mem, idps_cpu, idps_mem
2025/01/01 11:13:13, 11.1 ,11.1 ,66.7, 4636.5 ,583.2 ,2886.2, 0.0, 26
2025/01/01 11:13:14, 0.0 ,12.5 ,75.0, 4636.5 ,586.7 ,2882.6, 0.0, 26
2025/01/01 11:13:15, 0.0 ,14.3 ,85.7, 4636.5 ,586.9 ,2882.3, 0.0, 26
2025/01/01 11:13:16, 14.3 ,14.3 ,71.4, 4636.5 ,583.3 ,2885.8, 6.2, 26
2025/01/01 11:13:17, 25.0 ,0.0 ,75.0, 4636.5 ,586.1 ,2882.9, 0.0, 26
2025/01/01 11:13:19, 0.0 ,28.6 ,71.4, 4636.5 ,587.6 ,2881.3, 0.0, 26
2025/01/01 11:13:20, 0.0 ,25.0 ,62.5, 4636.5 ,587.4 ,2881.4, 0.0, 26
2025/01/01 11:13:21, 14.3 ,14.3 ,71.4, 4636.5 ,583.2 ,2885.5, 0.0, 26
2025/01/01 11:13:22, 14.3 ,0.0 ,85.7, 4636.5 ,585.1 ,2883.6, 0.0, 26
2025/01/01 11:13:23, 22.2 ,11.1 ,55.6, 4636.5 ,584.1 ,2884.4, 0.0, 26
2025/01/01 11:13:25, 0.0 ,14.3 ,71.4, 4636.5 ,583.8 ,2884.6, 0.0, 26
2025/01/01 11:13:26, 0.0 ,14.3 ,85.7, 4636.5 ,586.6 ,2881.8, 0.0, 26
2025/01/01 11:13:27, 12.5 ,12.5 ,62.5, 4636.5 ,582.2 ,2886.1, 0.0, 26
2025/01/01 11:13:28, 12.5 ,25.0 ,62.5, 4636.5 ,583.6 ,2884.6, 0.0, 26
2025/01/01 11:13:29, 0.0 ,14.3 ,85.7, 4636.5 ,586.2 ,2881.9, 0.0, 26
2025/01/01 11:13:31, 16.7 ,0.0 ,83.3, 4636.5 ,583.8 ,2884.2, 0.0, 26
2025/01/01 11:13:32, 12.5 ,12.5 ,62.5, 4636.5 ,584.4 ,2883.6, 0.0, 26
2025/01/01 11:13:33, 14.3 ,14.3 ,71.4, 4636.5 ,583.6 ,2884.2, 0.0, 26
2025/01/01 11:13:34, 0.0 ,12.5 ,75.0, 4636.5 ,584.6 ,2883.2, 0.0, 26
2025/01/01 11:13:35, 0.0 ,22.2 ,66.7, 4636.5 ,584.4 ,2883.3, 0.0, 26
2025/01/01 11:13:37, 0.0 ,25.0 ,75.0, 4636.5 ,586.1 ,2881.5, 0.0, 26
2025/01/01 11:13:38, 0.0 ,28.6 ,71.4, 4636.5 ,584.1 ,2883.6, 0.0, 26
2025/01/01 11:13:39, 0.0 ,16.7 ,83.3, 4636.5 ,582.4 ,2885.1, 0.0, 26
2025/01/01 11:13:40, 14.3 ,0.0 ,85.7, 4636.5 ,584.4 ,2883.1, 0.0, 26
2025/01/01 11:13:41, 14.3 ,14.3 ,71.4, 4636.5 ,585.5 ,2881.8, 0.0, 26
2025/01/01 11:13:43, 12.5 ,12.5 ,62.5, 4636.5 ,585.2 ,2882.0, 0.0, 26
2025/01/01 11:13:44, 12.5 ,12.5 ,62.5, 4636.5 ,584.1 ,2883.1, 0.0, 26
2025/01/01 11:13:45, 12.5 ,25.0 ,62.5, 4636.5 ,584.9 ,2882.2, 0.0, 26
2025/01/01 11:13:46, 22.2 ,11.1 ,66.7, 4636.5 ,585.1 ,2881.9, 0.0, 26
2025/01/01 11:13:47, 0.0 ,14.3 ,85.7, 4636.5 ,583.2 ,2883.7, 0.0, 26
2025/01/01 11:13:49, 0.0 ,0.0 ,id,, 4636.5 ,583.8 ,2883.1, 0.0, 26
2025/01/01 11:13:50, 12.5 ,12.5 ,75.0, 4636.5 ,582.8 ,2883.9, 0.0, 26
2025/01/01 11:13:51, 16.7 ,0.0 ,83.3, 4636.5 ,582.4 ,2884.3, 0.0, 26
2025/01/01 11:13:52, 14.3 ,14.3 ,71.4, 4636.5 ,584.0 ,2882.6, 0.0, 26
2025/01/01 11:13:53, 0.0 ,16.7 ,83.3, 4636.5 ,584.1 ,2882.4, 0.0, 26
2025/01/01 11:13:55, 11.1 ,22.2 ,55.6, 4636.5 ,581.4 ,2885.0, 0.0, 26
2025/01/01 11:13:56, 14.3 ,14.3 ,71.4, 4636.5 ,584.9 ,2881.5, 0.0, 26
2025/01/01 11:13:57, 0.0 ,16.7 ,83.3, 4636.5 ,582.6 ,2883.8, 0.0, 26
2025/01/01 11:13:58, 0.0 ,16.7 ,83.3, 4636.5 ,582.8 ,2883.3, 0.0, 26
2025/01/01 11:13:59, 11.1 ,11.1 ,66.7, 4636.5 ,583.4 ,2882.7, 0.0, 26
2025/01/01 11:14:01, 0.0 ,16.7 ,83.3, 4636.5 ,583.8 ,2881.3, 0.0, 26
2025/01/01 11:14:02, 0.0 ,0.0 ,id,, 4636.5 ,583.1 ,2881.9, 0.0, 26
2025/01/01 11:14:03, 0.0 ,11.1 ,66.7, 4636.5 ,580.9 ,2884.1, 0.0, 26
2025/01/01 11:14:04, 14.3 ,14.3 ,71.4, 4636.5 ,581.5 ,2883.4, 0.0, 26
2025/01/01 11:14:05, 0.0 ,25.0 ,75.0, 4636.5 ,581.4 ,2883.4, 0.0, 26
2025/01/01 11:14:07, 14.3 ,14.3 ,71.4, 4636.5 ,582.2 ,2882.4, 0.0, 26
2025/01/01 11:14:08, 0.0 ,16.7 ,83.3, 4636.5 ,582.4 ,2882.2, 0.0, 26
2025/01/01 11:14:09, 0.0 ,16.7 ,83.3, 4636.5 ,580.8 ,2883.8, 0.0, 26
2025/01/01 11:14:10, 12.5 ,12.5 ,75.0, 4636.5 ,582.0 ,2882.5, 0.0, 26
2025/01/01 11:14:11, 0.0 ,16.7 ,83.3, 4636.5 ,581.1 ,2883.2, 0.0, 26
2025/01/01 11:14:13, 0.0 ,12.5 ,75.0, 4636.5 ,584.0 ,2880.3, 0.0, 26
2025/01/01 11:14:14, 16.7 ,0.0 ,83.3, 4636.5 ,583.2 ,2881.0, 0.0, 26
2025/01/01 11:14:15, 0.0 ,14.3 ,85.7, 4636.5 ,579.6 ,2884.5, 0.0, 26
2025/01/01 11:14:16, 0.0 ,25.0 ,62.5, 4636.5 ,582.4 ,2881.7, 0.0, 26
2025/01/01 11:14:17, 16.7 ,0.0 ,83.3, 4636.5 ,580.3 ,2883.6, 0.0, 26
2025/01/01 11:14:19, 0.0 ,16.7 ,83.3, 4636.5 ,579.9 ,2884.0, 0.0, 26
2025/01/01 11:14:20, 0.0 ,16.7 ,83.3, 4636.5 ,581.7 ,2882.1, 0.0, 26
2025/01/01 11:14:21, 0.0 ,28.6 ,71.4, 4636.5 ,582.3 ,2881.4, 0.0, 26
2025/01/01 11:14:22, 0.0 ,16.7 ,83.3, 4636.5 ,582.9 ,2880.8, 6.2, 26
2025/01/01 11:14:23, 0.0 ,16.7 ,83.3, 4636.5 ,499.1 ,2883.0, 0.0, 26
2025/01/01 11:14:25, 12.5 ,37.5 ,37.5, 4636.5 ,479.1 ,2887.9, 0.0, 26
2025/01/01 11:14:26, 0.0 ,14.3 ,71.4, 4636.5 ,454.3 ,2882.8, 0.0, 26
2025/01/01 11:14:27, 0.0 ,16.7 ,83.3, 4636.5 ,438.9 ,2882.6, 0.0, 26
2025/01/01 11:14:28, 14.3 ,14.3 ,57.1, 4636.5 ,421.1 ,2883.2, 0.0, 26
2025/01/01 11:14:29, 0.0 ,25.0 ,62.5, 4636.5 ,416.3 ,2884.6, 0.0, 26
2025/01/01 11:14:31, 11.1 ,22.2 ,44.4, 4636.5 ,414.9 ,2882.3, 0.0, 26
2025/01/01 11:14:32, 0.0 ,0.0 ,id,, 4636.5 ,568.9 ,2882.7, 0.0, 26
2025/01/01 11:14:33, 0.0 ,22.2 ,66.7, 4636.5 ,567.5 ,2884.0, 0.0, 26
2025/01/01 11:14:34, 0.0 ,28.6 ,71.4, 4636.5 ,567.1 ,2884.1, 0.0, 26
2025/01/01 11:14:35, 0.0 ,16.7 ,83.3, 4636.5 ,568.5 ,2882.7, 5.9, 26
2025/01/01 11:14:37, 12.5 ,25.0 ,62.5, 4636.5 ,569.3 ,2881.8, 0.0, 26
2025/01/01 11:14:38, 0.0 ,16.7 ,83.3, 4636.5 ,567.8 ,2883.3, 0.0, 26
2025/01/01 11:14:39, 0.0 ,25.0 ,75.0, 4636.5 ,566.3 ,2884.7, 0.0, 26
2025/01/01 11:14:40, 0.0 ,16.7 ,83.3, 4636.5 ,565.8 ,2885.1, 0.0, 26
2025/01/01 11:14:41, 22.2 ,11.1 ,66.7, 4636.5 ,569.9 ,2880.8, 0.0, 26
2025/01/01 11:14:43, 0.0 ,14.3 ,85.7, 4636.5 ,568.8 ,2881.9, 0.0, 26
2025/01/01 11:14:44, 0.0 ,28.6 ,71.4, 4636.5 ,568.2 ,2882.4, 0.0, 26
2025/01/01 11:14:45, 0.0 ,16.7 ,83.3, 4636.5 ,567.4 ,2883.1, 0.0, 26
2025/01/01 11:14:46, 14.3 ,14.3 ,71.4, 4636.5 ,565.6 ,2884.8, 6.2, 26
2025/01/01 11:14:47, 0.0 ,0.0 ,id,, 4636.5 ,568.2 ,2882.1, 0.0, 26
2025/01/01 11:14:49, 28.6 ,0.0 ,71.4, 4636.5 ,567.8 ,2882.4, 0.0, 26
2025/01/01 11:14:50, 14.3 ,14.3 ,71.4, 4636.5 ,568.2 ,2882.0, 0.0, 26
2025/01/01 11:14:51, 14.3 ,14.3 ,71.4, 4636.5 ,565.0 ,2885.1, 0.0, 26
2025/01/01 11:14:52, 12.5 ,25.0 ,62.5, 4636.5 ,564.6 ,2885.5, 0.0, 26
2025/01/01 11:14:53, 11.1 ,11.1 ,66.7, 4636.5 ,565.1 ,2884.9, 0.0, 26
2025/01/01 11:14:55, 22.2 ,22.2 ,55.6, 4636.5 ,563.4 ,2886.4, 0.0, 26
2025/01/01 11:14:56, 0.0 ,16.7 ,83.3, 4636.5 ,565.1 ,2884.7, 0.0, 26
2025/01/01 11:14:57, 11.1 ,11.1 ,66.7, 4636.5 ,563.9 ,2885.8, 0.0, 26
2025/01/01 11:14:58, 0.0 ,28.6 ,71.4, 4636.5 ,565.1 ,2884.6, 0.0, 26
2025/01/01 11:14:59, 0.0 ,12.5 ,50.0, 4636.5 ,568.5 ,2881.1, 0.0, 26
